"ID";"AUTHORS";"AVGRATING";"CATEGORIES";"DATEOFADDITION";"DATEOFPUBLICATION";"DESCRIPTION";"NOTE";"IMAGEURL";"INDUSTRIALIDENTIFIER";"LANGUAGE";"LOCATION";"PAGECOUNT";"PREVIEWLINK";"PRICE";"PRINTTYPE";"PUBLISHER";"SUBTITLE";"TITLE";"VOTES"
"30037";"Frank Simon; Olaf Seng; Thomas Mohaupt";"0.0";"Software-Qualität; Wartung";"18.09.2013";"01.01.2006";;"privates Exemplar";"http://bks8.books.google.de/books?id=IEk8AQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9783898643887";"de";"TAB 2.57";"340";"http://books.google.de/books?id=IEk8AQAACAAJ&dq=isbn:9783898643887&hl=&cd=1&source=gbs_api";;"BOOK";;;"Code Quality Management";"0"
"30038";"Flemming Nielson; Hanne R. Nielson; Chris Hankin";"0.0";"Programmanalyse";"18.09.2013";"01.01.1999";"Program analysis concerns static techniques for computing reliable approximate information about the dynamic behaviour of programs. Applications include compilers (for code improvement), software validation (for detecting errors in algorithms or breaches of security) and transformations between data representation (for solving problems such as the Y2K problem). This book is unique in giving an overview of the four major approaches to program analysis: data flow analysis, constraint based analysis, abstract interpretation, and type and effect systems. The presentation demonstrates the extensive similarities between the approaches; this will aid the reader in choosing the right approach and in enhancing it with insights from the other approaches. The book covers basic semantic properties as well as more advanced algorithmic techniques. The book is aimed at M.Sc. and Ph.D. students but will be valuable also for experienced researchers and professionals.";"privates Exemplar";"http://bks0.books.google.de/books?id=RLjt0xSj8DcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9783540654100";"en";"TAB 2.57";"450";"http://books.google.de/books?id=RLjt0xSj8DcC&printsec=frontcover&dq=isbn:9783540654100&hl=&cd=1&source=gbs_api";;"BOOK";"Springer";;"Principles of Program Analysis";"0"
"30039";"Marcus Deininger; Horst Lichter; Jochen Ludewig; Kurt Schneider";"0.0";"Wissenschaftliches Arbeiten";"18.09.2013";"01.01.2002";;"privates Exemplar";;"9783728128157";"de";"TAB 2.57";"72";"http://books.google.de/books?id=8yJhPQAACAAJ&dq=isbn:9783728128157&hl=&cd=1&source=gbs_api";;"BOOK";;;"Studien-Arbeiten";"0"
"30040";"B. J. Winer; Donald R. Brown; Kenneth M. Michels";"0.0";"Statistik";"18.09.2013";"01.01.1991";"A revision of this classic statistics text for first-year graduate students in psychology, education and related social sciences. The two new authors are former students of Winer's. They have updated, rewritten and reorganized the text to fit the course as it is now taught.";"privates Exemplar";"http://bks9.books.google.de/books?id=OqppAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"0070709823";"en";"TAB 2.57";"1057";"http://books.google.de/books?id=OqppAAAAMAAJ&dq=isbn:0070709823&hl=&cd=1&source=gbs_api";;"BOOK";"McGraw-Hill Humanities/Social Sciences/Languages";;"Statistical principles in experimental design";"0"
"30041";"William Venables; B.D. Ripley";"0.0";"Statistik";"18.09.2013";"20.04.2000";"Written by the bestselling authors of 'Modern Applied Statistics with S-Plus', this book provides an in-depth guide to writing software in the S language under the commercial S-PLUS and the Open Source R systems. The book is geared to those with some knowledge of the S language who want to use it more effectively.";"Uni-Bibliothek";"http://bks5.books.google.de/books?id=-rKWRH0fglMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9780387989662";"en";"TAB 2.57";"264";"http://books.google.de/books?id=-rKWRH0fglMC&printsec=frontcover&dq=isbn:9780387989662&hl=&cd=1&source=gbs_api";;"BOOK";"Springer";;"S Programming";"0"
"30042";"William N. Venables; Brian D. Ripley";"0.0";"Statistik";"18.09.2013";"01.01.2002";"Data analysis, computing.";"Uni-Bibliothek";"http://bks5.books.google.de/books?id=GeX9CYd_JTkC&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9780387954578";"en";"TAB 2.57";"495";"http://books.google.de/books?id=GeX9CYd_JTkC&dq=isbn:9780387954578&hl=&cd=1&source=gbs_api";;"BOOK";"Springer Verlag";;"Modern applied statistics with S";"0"
"30043";"John M. Chambers";"0.0";"Statistik";"18.09.2013";"19.06.1998";"Here is a thorough and authoritative guide to the latest version of the S language and to its programming environment the premier software platform for computing with data. Programming with Data describes a new and greatly extended version of S and is written by the chief designer of the language. The book is a guide to the complete programming process, starting from simple interactive use and continuing through ambitious software projects. S is designed for computing with data-for any project in which organizing, visualizing, summarizing, or modeling data are central concerns. Its focus is on the needs of the programmer/user, and its goal is 'to turn ideas into software, quickly and faithfully.' S is a functional object-based language with a huge library of functions for all aspects of computing with data. Its long and enthusiastic use in statistics and applied fields has also led to many valuable libraries of user-written functions. The new version of S provides powerful class/method structure, new techniques to deal with large objects, extended interfaces to other languages and files, object-based documentation compatible with HTML, and powerful new interactive programming techniques. This version of S underlies the S-PLUS system, versions 5*0 and higher.";"Uni-Bibliothek";"http://bks9.books.google.de/books?id=Km1IBFZCRPUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9780387985039";"en";"TAB 2.57";"469";"http://books.google.de/books?id=Km1IBFZCRPUC&printsec=frontcover&dq=isbn:9780387985039&hl=&cd=1&source=gbs_api";;"BOOK";"Springer";;"Programming with Data";"0"
"30044";"Jürgen Bortz; Gustav A. Lienert; Klaus Boehnke";"0.0";"Statistik";"18.09.2013";"23.07.2010";"Vertiefung der 'Kurzgefassten Statistik' von Jürgen Bortz Auch ohne mathematische Vorkenntnisse verständlich Mit 47 Signifikanztafeln";"Uni-Bibliothek";"http://bks2.books.google.de/books?id=up_3mAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9783540747062";"de";"TAB 2.57";"930";"http://books.google.de/books?id=up_3mAEACAAJ&dq=isbn:9783540747062&hl=&cd=1&source=gbs_api";;"BOOK";"Springer";;"Verteilungsfreie Methoden in der Biostatistik";"0"
"30045";"Andrew Gelman; John B Carlin; Hal S Stern; Donald B Rubin";"0.0";"Statistik";"18.09.2013";"01.01.2004";"Incorporating new and updated information, this second edition of THE bestselling text in Bayesian data analysis continues to emphasize practice over theory, describing how to conceptualize, perform, and critique statistical analyses from a Bayesian perspective. Its world-class authors provide guidance on all aspects of Bayesian data analysis and include examples of real statistical analyses, based on their own research, that demonstrate how to solve complicated problems. Changes in the new edition include: ·Stronger focus on MCMC·Revision of the computational advice in Part III·New chapters on nonlinear models and decision analysis·Several additional applied examples from the authors' recent research·Additional chapters on current models for Bayesian data analysis such as nonlinear models, generalized linear mixed models, and more·Reorganization of chapters 6 and 7 on model checking and data collectionBayesian computation is currently at a stage where there are many reasonable ways to compute any given posterior distribution. However, the best approach is not always clear ahead of time. Reflecting this, the new edition offers a more pluralistic presentation, giving advice on performing computations from many perspectives while making clear the importance of being aware that there are different ways to implement any given iterative simulation computation. The new approach, additional examples, and updated information make Bayesian Data Analysis an excellent introductory text and a reference that working scientists will use throughout their professional life.";"Uni-Bibliothek";"http://bks1.books.google.de/books?id=BkGCmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9781584883883";"en";"TAB 2.57";"668";"http://books.google.de/books?id=BkGCmAEACAAJ&dq=isbn:9781584883883&hl=&cd=1&source=gbs_api";;"BOOK";"Chapman & Hall/CRC";;"Bayesian Data Analysis";"0"
"30046";"Dan Gusfield";"0.0";"Algorithmen";"18.09.2013";"28.05.1997";"This 1997 book describes a range of string problems in computer science and molecular biology and the algorithms developed to solve them.";"Uni-Bibliothek";"http://bks8.books.google.de/books?id=Ofw5w1yuD8kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9780521585194";"en";"TAB 2.57";"534";"http://books.google.de/books?id=Ofw5w1yuD8kC&printsec=frontcover&dq=isbn:9780521585194&hl=&cd=1&source=gbs_api";;"BOOK";"Cambridge University Press";;"Algorithms on Strings, Trees and Sequences";"0"
"30047";"Ilʹja N. Bronštejn";"0.0";"Mathematik";"18.09.2013";"01.01.1984";;"privates Exemplar";;"3871444928";"de";"TAB 2.57";"840";"http://books.google.de/books?id=1prwXwAACAAJ&dq=isbn:3871444928&hl=&cd=1&source=gbs_api";;"BOOK";;;"Taschenbuch der Mathematik";"0"
"30048";"Andrew Gelman; Jennifer Hill";"0.0";"Statistik";"18.09.2013";"01.01.2007";"For the applied researcher performing data analysis using linear and nonlinear regression and multilevel models.";"Uni-Bibliothek";"http://bks1.books.google.de/books?id=lV3DIdV0F9AC&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9780521686891";"en";"TAB 2.57";"625";"http://books.google.de/books?id=lV3DIdV0F9AC&dq=isbn:9780521686891&hl=&cd=1&source=gbs_api";;"BOOK";;;"Data Analysis Using Regression and Multilevel/Hierarchical Models";"0"
"30049";"David S. Moore; George P. McCabe; Bruce A. Craig";"0.0";"Statistik";"18.09.2013";"01.01.2009";"The new Sixth Edition brings the acclaimed IPS approach to a new generation, with a number of enhancements in the text and with breakthrough media tools for instructors and students. It demonstrates how statistical techniques are used to solve real-world problems, combining real data and applications with innovative pedagogy, both in the text and via electronic media. New Format Options Introduction to the Practice of Statistics, Sixth Edition is available as: • A core book containing the first 13 chapters in hardcover (1-4292-1622-0) or paperback (1-4292-1621-2). Companion chapters 14-17 are available on the book's CD and web site. • Extended Version (hardcover; includes chapters 1-15): 1-4292-1623-9";"Uni-Bibliothek";"http://bks1.books.google.de/books?id=FiZ7SgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9781429216227";"en";"TAB 2.57";"709";"http://books.google.de/books?id=FiZ7SgAACAAJ&dq=isbn:9781429216227&hl=&cd=1&source=gbs_api";;"BOOK";"W H Freeman & Company";;"Introduction to the Practice of Statistics";"0"
"30050";"Verena Janßen; Manfred Beden";"0.0";"Arbeitsorganisation";"18.09.2013";"07.03.2006";"Bei einem Arbeitszeugnis entscheiden oft Details über einen guten oder schlechten Gesamteindruck. Das Autorenteam Verena Janßen und Manfred Beden hilft Ihnen nicht nur dabei, Ihr Zeugnis und die Notenstufen zu entschlüsseln, sondern zeigt auch, wie Sie selbst mithilfe zahlreicher Textideen und Musterzeugnisse ein perfekt formuliertes Zeugnis erstellen können. Alles Wichtige über internationale Zeugnisse und die rechtlichen Aspekte der Zeugniswelt runden diesen Ratgeber ab.";"privates Exemplar";"http://bks6.books.google.de/books?id=S7MoZjp7o9wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9783774288508";"de";"TAB 2.57";"128";"http://books.google.de/books?id=S7MoZjp7o9wC&printsec=frontcover&dq=isbn:9783774288508&hl=&cd=1&source=gbs_api";;"BOOK";"GRÄFE UND UNZER";;"Arbeitszeugnisse Richtig deuten - perfekt formulieren";"0"
"30051";"Lyn Dupré";"0.0";"Wissenschaftliches Arbeiten";"18.09.2013";"01.01.1998";"'How often does a book come along that has you laughing out loud as it improves your writing, especially of technical and scientific material? How often does a book on writing come out aimed at scientists, mathematicians, and computer specialists in the first place? How often does a book on grammar keep you turning the pages from pleasure? Never, you say? Then get this one.' Jef Raskin professional writer and creator of the Apple Macintosh project 'As someone responsible for the creation of numerous bugs, literary and otherwise, I heartily recommend Lyn Dupre's exquisite book: a lucid guide to squishing bugs or, even better, exterminating them before they hatch.' David C. Nagel President, AT&T Labs 'You can borrow my dictionary or steal my thesaurus. Just stay away from my copy of BUGS.' Patrick Henry Winston Massachusetts Institute of Technology 'The quality of scientific and technical writing would increase considerably if this book were required reading for all authors.' The Mathematica Journal 'Lyn's style is wonderful: humorous, enjoyable, and incisive. I even liked the plot.' Peter G. Neumann author of the Dupreved Computer-Related Risks 'Those of us who have worked with Lyn Dupre treasure her keen wit, and, above all, her absolute mastery of writing.' Carver Mead California Institute of Technology 'BUGS in Writing deserves to become a standard. If technical writing isn't your principal activity, but you find yourself doing a lot of it, you should read this book.' IEEE Micro 'This book will help me/you/we a lot/immensely.' Martin Griss Laboratory Scientist and Reuse Rabbi, Hewlett-Packard Laboratories 'Lyn combines an intellectual command of her subject with a madcap imagination to take you on a joyous romp through the English language.' Abraham Silberschatz Lucent Technologies 'I just received a copy of BUGS in Writing, which I think is wonderful. (Reading this sentence again, I realize it is ambiguous; but both its interpretations are true. It is also passive, but since the package was waiting for me when I returned from a trip, it is hard to know just who brought it.)...BUGS will certainly be at my fingertips during the final rewrites. Andrew Koenig author of C Traps and Pitfalls and coauthor of Ruminations on C++ 'I highly recommend BUGS in Writing, by Dupre. It makes an excellent companion to Strunk & White and the Harbrace College Handbook.' Martin D. Carroll coauthor of Designing and Coding Reusable C++ A 'superior' alternative to Strunk and White. Computing Reviews 'This book simply sneaks up like a cat and charms you.' Kitta Reeds SRI International 'Having the examples weave their own story is an outstanding device. Our brains must be wired for learning from stories.' Bruce R. Montague University of California, Santa Cruz 'Ultimately, it is the playfulness and humor of the author that encourages me to keep this book on my working shelf. I wish I'd had Lyn Dupre as my fifth-grade English teacher.' ANPA West Journal 'An earful of bugs that will learn you right from wrong.' Dick Lyon hearing researcher, Caltech, and Senior Scientist, Foveonics, Inc. 'It's hard to describe how easy it is to read this book, except to say that it's the first style book that I have ever read entirely, and for pleasure.' Ellen Levy Finch Expert Support, Inc. 'An indispensible 'bible' for those who believe that clarity and good writing are the key to conveying any message effectively.' Edward H. Shortliffe, MD, PhD Professor and Associate Dean, Stanford University 'Even my cats seemed to like the book.' Denbigh Starkey Montana State University Like a deft and brilliant surgeon Lyn takes your mangled manuscript And dexterously cuts away Those dangling participles Those split infinitives Those fatty adjectives And returns to you An (almost) perfect body Of your work (Marred by only a few Feline paw prints). Lightning quick of mind Motion sure and filled with grace Weapon poised With sharp and blackened point She pounces! Leaps upon her prey! Death to the fractured words The split infinitive The dangling participle! The body stirs at last Returns to life Strengthened, renewed, And ready for The publisher. oTrish Hooper";"privates Exemplar";"http://bks1.books.google.de/books?id=X-J4AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9780201379211";"en";"TAB 2.57";"668";"http://books.google.de/books?id=X-J4AAAAIAAJ&dq=isbn:9780201379211&hl=&cd=1&source=gbs_api";;"BOOK";"Addison-Wesley Professional";;"BUGS in writing";"0"
"30052";"Frank Mittelbach; Michel Goossens";"0.0";"Wissenschaftliches Arbeiten";"18.09.2013";"01.01.2004";;"Uni-Bibliothek";;"9780201362992";;"TAB 2.57";"0";;;;;"2nd edition";"The LaTeX Companion";"0"
"30053";"Langenscheidt";"0.0";"Wissenschaftliches Arbeiten";"18.09.2013";"01.01.1995";;"privates Exemplar";;"3468111215";"en";;"1386";"http://books.google.de/books?id=ymdPnQEACAAJ&dq=isbn:3468111215&hl=&cd=1&source=gbs_api";;"BOOK";"Langenscheidt";;"Englisch - Deutsch / Deutsch - Englisch. Taschenwörterbuch. Langenscheidt.";"0"
"30054";"Duden";"0.0";"Wissenschaftliches Arbeiten";"18.09.2013";"01.01.1982";;"privates Exemplar";;"3411209054";;;"813";;;"BOOK";"Duden";;"Das Fremdwörterbuch";"0"
"30055";"Duden";"0.0";"Wissenschaftliches Arbeiten";"18.09.2013";"01.01.1986";;"privates Exemplar";"http://bks2.books.google.de/books?id=RNAdAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"3411209003";"de";;"792";"http://books.google.de/books?id=RNAdAQAAIAAJ&dq=isbn:3411209003&hl=&cd=1&source=gbs_api";;"BOOK";"Duden";;"Duden Rechtschreibung der deutschen Sprache und der Fremdwörter";"0"
"30056";"Serge Demeyer; Stéphane Ducasse; Oscar Marius Nierstrasz";"0.0";"Reengineering";"18.09.2013";"01.01.2003";"Most programmers spend their time working on existing software systems rather than designing new ones. Although object-oriented programming is relatively young, the upkeep of existing object-oriented systems is rapidly gaining attention. This volume explains the renovating of these systems, called reengineering.";"privates Exemplar";"http://bks4.books.google.de/books?id=k5NQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9781558606395";"en";"TAB 2.57";"282";"http://books.google.de/books?id=k5NQAAAAMAAJ&dq=isbn:9781558606395&hl=&cd=1&source=gbs_api";;"BOOK";"Morgan Kaufmann";;"Object-oriented reengineering patterns";"0"
"30057";"Merriam-Webster, Inc";"0.0";"Wissenschaftliches Arbeiten";"18.09.2013";"01.01.1993";"Features concise definitions, clear pronunciations, illustrations, tables, cross-references, examples of contemporary word use, synonyms, and more";"privates Exemplar";"http://bks2.books.google.de/books?id=555iAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9780877797098";"en";"TAB 2.57";"1597";"http://books.google.de/books?id=555iAAAAMAAJ&dq=isbn:9780877797098&hl=&cd=1&source=gbs_api";;"BOOK";"Merriam Webster";;"Merriam-Webster's collegiate dictionary";"0"
"30058";"Sonia Brough; Heinz Messinger";"0.0";"Wissenschaftliches Arbeiten";"18.09.2013";"01.01.1995";"A convenient reference for writers, students, and businesspeople; anyone who needs the right word at the right time.";"privates Exemplar";"http://bks9.books.google.de/books?id=B50nAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9780887290213";"en";"TAB 2.57";"1515";"http://books.google.de/books?id=B50nAQAAMAAJ&dq=isbn:9780887290213&hl=&cd=1&source=gbs_api";;"BOOK";"Langenscheidt Pub Inc";;"Langenscheidt's new college German dictionary";"0"
"30059";"Jürgen Ebert; Rainer Gimnich; Hans H. Statsch; Andreas Winter (Hrsg.)";"0.0";"Wissenschaftliches Arbeiten";"18.09.2013";"01.01.1998";;"privates Exemplar";;"3923532598";"de";"TAB 2.57";"244";;;;"Fölbach";;"GUPRO: Generische Umgebung zum Programmverstehen";"0"
"30060";"Tom Mens; Serge Demeyer (Hrsg.)";"0.0";"Wissenschaftliches Arbeiten";"18.09.2013";"01.01.2008";;"privates Exemplar";;"9783540764397";;"TAB 2.57";"347";;;"BOOK";"Springer";;"Software-Evolution";"0"
"30061";"Bernd Müller";"0.0";"Software-Evolution";"18.09.2013";"01.01.1997";;"privates Exemplar";"http://bks5.books.google.de/books?id=HKROumm9nOUC&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9783519029427";"de";"TAB 2.57";"207";"http://books.google.de/books?id=HKROumm9nOUC&dq=isbn:9783519029427&hl=&cd=1&source=gbs_api";;"BOOK";"Vieweg + Teubner Verlag";;"Reengineering";"0"
"30062";"Thomas M. Pigoski";"0.0";"Software-Evolution";"18.09.2013";"01.01.1997";"Overview of software maintenance; Why maintenance is expensive; Evolution of software processes and models; A recommended sofwate maintenance process; Pre-delivery software maintenance activities; Planning, parts I & II: the maintenance concept and the maintenance plan; Planning, part III: resources; Transition; Transition experiences, part I; Transition experiences, part II; Setting up the software maintenance organization; Tools and environment; Software maintenance metrics; Software maintenance metrics experiences; Maintainability; Sofwtare maintenance management; Education and training; Impact of object oriented technology on software maintenance; Software maintenance resources; The future of software maintenance; Glossary; Bibliography; Index.";"privates Exemplar";"http://bks0.books.google.de/books?id=h7pQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9780471170013";"en";"TAB 2.57";"384";"http://books.google.de/books?id=h7pQAAAAMAAJ&dq=isbn:9780471170013&hl=&cd=1&source=gbs_api";;"BOOK";"Wiley";;"Practical software maintenance";"0"
"30063";"William J. Brown";"0.0";"Software-Evolution";"18.09.2013";"01.01.2004";;"privates Exemplar";"http://bks6.books.google.de/books?id=GMzeAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9783826614798";"en";"TAB 2.57";"298";"http://books.google.de/books?id=GMzeAAAACAAJ&dq=isbn:9783826614798&hl=&cd=1&source=gbs_api";;"BOOK";;;"AntiPatterns";"0"
"30064";"Franz Lehner";"0.0";"Software-Evolution";"18.09.2013";"01.01.1989";;"privates Exemplar";;"3446156488";"de";"TAB 2.57";"279";"http://books.google.de/books?id=YRXzAAAACAAJ&dq=isbn:3446156488&hl=&cd=1&source=gbs_api";;"BOOK";;;"Nutzung und Wartung von Software";"0"
"30065";"Christoph Bommer; Markus Spindler; Volkert Barr";"0.0";"Software-Evolution";"18.09.2013";"01.06.2008";;"privates Exemplar";;"9783898644822";"de";"TAB 2.57";"314";"http://books.google.de/books?id=NgMpNAAACAAJ&dq=isbn:9783898644822&hl=&cd=1&source=gbs_api";;"BOOK";;;"Software-Wartung";"0"
"30066";"Michele Lanza; Radu Marinescu";"0.0";"Software-Evolution";"18.09.2013";"01.01.2006";;"privates Exemplar";;"9783540244295";"en";"TAB 2.57";"205";;;;"Springer";"Using Software Metrics to Characterize, Evaluate; and Improve the Design of Object-Oriented Systems";"Object-Oriented Metrics in Practicwe";"0"
"30067";"Martin Lippert; Stephen Roock";"0.0";"Software-Evolution";"18.09.2013";"05.06.2006";"Large Refactorings looks at methods of establish design improvements as an important and independent activity during development of software, and will help to ensure that software continues to adapt, improve and remain easy to read and modify without altering its observable behaviour. It provides real-world experience from real refactored projects and shows how to refactor software to ensure that it is efficient, fresh and adaptable";"privates Exemplar";"http://bks8.books.google.de/books?id=erBQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9780470858929";"en";"TAB 2.57";"280";"http://books.google.de/books?id=erBQAAAAMAAJ&dq=isbn:9780470858929&hl=&cd=1&source=gbs_api";;"BOOK";"Wiley";;"Refactoring in large software projects";"0"
"30068";"Robert C. Seacord; DANIEL AUTOR PLAKOSH; GRACE A AUTOR LEWIS";"0.0";"Software-Evolution";"18.09.2013";"01.01.2003";"Most organizations rely on complex enterprise information systems (EISs) to codify their business practices and collect, process, and analyze business data. These EISs are large, heterogeneous, distributed, constantly evolving, dynamic, long-lived, and mission critical. In other words, they are a complicated system of systems. As features are added to an EIS, new technologies and components are selected and integrated. In many ways, these information systems are to an enterprise what a brain is to the higher species--a complex, poorly understood mass upon which the organism relies for its very existence. To optimize business value, these large, complex systems must be modernized--but where does one begin? This book uses an extensive real-world case study (based on the modernization of a thirty year old retail system) to show how modernizing legacy systems can deliver significant business value to any organization.";"privates Exemplar";"http://bks1.books.google.de/books?id=sZsy2X1EA9UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9780321118844";"en";"TAB 2.57";"332";"http://books.google.de/books?id=sZsy2X1EA9UC&printsec=frontcover&dq=isbn:9780321118844&hl=&cd=1&source=gbs_api";;"BOOK";"Addison-Wesley Professional";;"Modernizing Legacy Systems";"0"
"30069";"Dieter Masak";"0.0";"Software-Evolution";"18.09.2013";"01.01.2006";"Die Software heutiger Unternehmen besteht zum gröÃten Teil aus Altsystemen, die zwischen fünf und dreiÃig Jahren alt sein können. In der heutigen Softwareliteratur wird vorwiegend die Schaffung und Konzeption von neuen Systemen behandelt. Ziel dieses Buches ist es dagegen, eine Darstellung der Entwicklungsmöglichkeiten und Strategien für die Altsysteme aufzuzeigen. Dabei beschäftigt sich der Autor auch mit folgenden Fragen: Wie kann die Wartung besser werden? Muss man wirklich ablösen? Wie funktioniert der Ersatz durch Standardsoftware?";"privates Exemplar";"http://bks3.books.google.de/books?id=_ADkwozCvegC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9783540254126";"de";"TAB 2.57";"434";"http://books.google.de/books?id=_ADkwozCvegC&printsec=frontcover&dq=isbn:9783540254126&hl=&cd=1&source=gbs_api";;"BOOK";"Springer DE";;"Legacysoftware";"0"
"30070";"Harry M. Sneed; Martin Hasitschka; Maria-Therese Teichmann";"0.0";"Software-Evolution";"18.09.2013";"01.01.2005";"Über 75% der Softwarespezialisten sind heute mit Wartung und Weiterentwicklung bestehender Softwaresysteme beschäftigt. Das Buch beschreibt anhand von zahlreichen Fallstudien die Planung, Organisation und Steuerung der Wartungs- und Weiterentwicklungsaktivitäten im Rahmen des Software-Produktlebenszyklus sowie die dafür erforderliche Infrastruktur. Es werden sowohl die Aufbau- als auch die Ablauforganisation eines Wartungsbetriebes beschrieben und Verfahren, Techniken und Tools zur Durchführung der Wartungsaufgaben vorgestellt. Der Schwerpunkt liegt dabei auf der täglichen Praxis des Softwarespezialisten; die Theorie wird bei Bedarf erklärt. Die Leser des Buches werden lernen: ... was Softwarewartung von Softwareentwicklung unterscheidet, ... welchen Zwängen die Softwarewartung und -evolution unterliegt, ... wie ein ordentlicher Wartungsbetrieb zu organisieren ist, ... wie Wartungsprojekte definiert, organisiert, geplant und gesteuert werden, ... wie Fehlermeldungen und Change Requests zu behandeln sind, ... wie Software - Code, Test und Dokumentation - fortzuschreiben ist, ... wie Softwaresysteme verwaltet werden ... wie veränderte Systeme zu testen sind, ... wie die Qualität der bestehender Anwendungssysteme trotz ständiger Veränderung aufrechtzuerhalten ist.";"privates Exemplar";"http://bks0.books.google.de/books?id=N-anAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9783898642743";"de";"TAB 2.57";"434";"http://books.google.de/books?id=N-anAAAACAAJ&dq=isbn:9783898642743&hl=&cd=1&source=gbs_api";;"BOOK";;;"Software-Produktmanagement";"0"
"30071";"Jan Bosch";"0.0";"Software-Architektur";"18.09.2013";"01.01.2000";"This book provides an achievable answer. The author proposes a method for designing software architectures, and product line architectures, which is based on his experience in industry and research. The first part of the book introduces the design method,";"privates Exemplar";"http://bks6.books.google.de/books?id=FDfyWknLvMYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";"9780201674941";"en";"TAB 2.57";"354";"http://books.google.de/books?id=FDfyWknLvMYC&printsec=frontcover&dq=isbn:9780201674941&hl=&cd=1&source=gbs_api";;"BOOK";"Pearson Education";;"Design and Use of Software Architectures";"0"
"30072";"Oliver Vogel; Ingo Arnold; Arif Chughtai; Edmund Ihler; Uwe Mehlig; Thomas Neumann, Dr; Markus Volter; Uwe Zdun";"0.0";"Software-Architektur";"18.09.2013";"01.01.2005";"Als Architekt arbeiten Sie in einem sehr vielf'ltigen und dynamischen Umfeld. Neue Technologien dr'ngen auf den Markt, neue Werkzeuge versprechen Effizienz- und Produktivit'tssteigerungen und neue Architekturkonzepte, wie Serviceorientierung und modellgetriebene Verfahren sollen Ihnen helfen, mit der inh'renten Komplexit't von IT-Systemen umzugehen. All diese Entwicklungen und Neuerungen m'ssen Sie als Architekt verstehen, einordnen und letztlich beurteilen k'nnen, um die Spreu vom Weizen zu trennen und f'r Ihre konkrete Problemstellung die passende L'sung zu w'hlen. Dieses Buch hilft Ihnen dabei, indem es das Thema Software-Architektur umfassend behandelt und mit Hilfe eines architektonischen Ordnungsrahmens strukturiert. Es stellt Sie als Architekten in den Mittelpunkt und bietet Ihnen langfristige Orientierung. Das Buch vermittelt hierzu essenzielles Architektur-Wissen und zeigt Ihnen, wie Sie dieses Wissen konkret und in entsprechenden Projekten einsetzen k'nnen. Zu diesem Zweck enth'lt das Buch Anwendungsszenarien und Fallstudien aus verschiedenen Industriezweigen und Anwendungsdom'nen. Software-Entwickler und Studenten erhalten mit diesem Buch eine wertvolle Hilfestellung, um in das Thema Software-Architektur einzusteigen. Weiterf'hrende Informationen finden Sie unter www.software-architektur-buch.de.";"privates Exemplar";"http://bks0.books.google.de/books?id=gwO3AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api";"9783827415349";"de";"TAB 2.57";"550";"http://books.google.de/books?id=gwO3AAAACAAJ&dq=isbn:9783827415349&hl=&cd=1&source=gbs_api";;"BOOK";"Spektrum Akademischer Verlag";;"Software-Architektur";"0"
